vote_2020,gender,race_ethnicity,household_income,education,age,vote_trump
Donald Trump,male,white,"25,000 to 49,999",bachelors degree,35,1
Donald Trump,male,white,"25,000 to 49,999",associate degree,71,1
Joe Biden,female,white,"100,000 to 149,999",masters or above,37,0
Joe Biden,female,white,"25,000 to 49,999",associate degree,27,0
Donald Trump,female,white,"100,000 to 149,999",masters or above,61,1
Donald Trump,male,white,"100,000 to 149,999",masters or above,47,1
Joe Biden,female,black/african american/negro,"100,000 to 149,999",masters or above,69,0
Donald Trump,female,white,"50,000 to 99,999",masters or above,45,1
Donald Trump,female,white,"50,000 to 99,999",bachelors degree,26,1
Donald Trump,male,white,"less than 25,000",bachelors degree,53,1
Joe Biden,male,white,"50,000 to 99,999",associate degree,65,0
Donald Trump,female,white,"100,000 to 149,999",bachelors degree,50,1
Joe Biden,male,white,"25,000 to 49,999",associate degree,67,0
Joe Biden,male,other asian or pacific islander,"25,000 to 49,999",masters or above,55,0
Joe Biden,female,white,"25,000 to 49,999",associate degree,48,0
Joe Biden,male,japanese,"25,000 to 49,999",associate degree,68,0
Joe Biden,male,white,"50,000 to 99,999",masters or above,57,0
Joe Biden,female,white,"150,000 or more",masters or above,32,0
Joe Biden,male,white,"50,000 to 99,999",bachelors degree,65,0
Joe Biden,female,black/african american/negro,"50,000 to 99,999",associate degree,67,0
Donald Trump,female,white,"less than 25,000",highschool or less,52,1
Donald Trump,male,white,"50,000 to 99,999",associate degree,73,1
Donald Trump,male,white,"100,000 to 149,999",masters or above,81,1
Joe Biden,female,white,"less than 25,000",associate degree,66,0
Joe Biden,female,white,"100,000 to 149,999",bachelors degree,38,0
Donald Trump,male,chinese,"25,000 to 49,999",bachelors degree,81,1
Donald Trump,female,white,"25,000 to 49,999",associate degree,65,1
Joe Biden,female,white,"25,000 to 49,999",associate degree,62,0
Donald Trump,female,white,"less than 25,000",highschool or less,21,1
Joe Biden,female,"other race, nec","50,000 to 99,999",associate degree,44,0
Donald Trump,female,black/african american/negro,"100,000 to 149,999",masters or above,33,1
Joe Biden,female,white,"less than 25,000",highschool or less,63,0
Donald Trump,female,white,"150,000 or more",bachelors degree,58,1
Joe Biden,female,white,"100,000 to 149,999",associate degree,60,0
Donald Trump,female,american indian or alaska native,"50,000 to 99,999",masters or above,29,1
Joe Biden,male,"other race, nec","50,000 to 99,999",associate degree,28,0
Joe Biden,female,white,"less than 25,000",highschool or less,40,0
Joe Biden,female,white,"50,000 to 99,999",associate degree,61,0
Joe Biden,female,white,"25,000 to 49,999",bachelors degree,37,0
Joe Biden,male,black/african american/negro,"150,000 or more",highschool or less,20,0
Joe Biden,female,white,"less than 25,000",associate degree,67,0
Joe Biden,male,white,"150,000 or more",bachelors degree,28,0
Donald Trump,male,white,"50,000 to 99,999",bachelors degree,30,1
Donald Trump,female,white,"less than 25,000",highschool or less,28,1
Donald Trump,female,white,"25,000 to 49,999",associate degree,62,1
Joe Biden,male,black/african american/negro,"less than 25,000",highschool or less,33,0
Joe Biden,female,white,"25,000 to 49,999",masters or above,68,0
Donald Trump,female,white,"150,000 or more",masters or above,52,1
Donald Trump,female,white,"less than 25,000",bachelors degree,39,1
